Name,gk,cb,lb,rb,lwb,rwb,cdm,cm,lm,rm,cam,cf,lw,rw,st,MP,G,SOnT,SOffT,BS,OG,A,P,C,Tk,INT,FW,FC,O,YC,RC,GC,PW,S,PS,train,med
P. Foden,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,89,2,4,2,0,0,0,78,7,0,0,1,0,0,0,0,1,0,0,0,10,1
 Rodri,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,90,1,2,1,0,0,0,125,0,1,1,0,0,0,0,0,1,0,0,0,8,1
 K. De Bruyne,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,90,0,3,1,2,0,0,83,5,3,0,2,0,0,0,0,1,0,0,0,10,1
 J. Doku,0,0,0,0,0,0,0,,1,1,0,0,1,1,0,90,0,2,0,2,0,1,32,1,5,0,3,1,0,0,0,1,0,0,0,7,1
 Bernardo Silva,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,90,0,0,1,0,0,2,86,1,1,0,1,0,0,0,0,1,0,0,0,9,1
 K. Walker,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,111,0,2,4,0,0,0,0,0,1,0,0,0,7,1
 J. Gvardiol,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,90,0,0,1,0,0,0,74,0,5,1,1,0,0,0,0,1,0,0,0,2,1
 M. Akanji,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,1,0,1,0,0,79,0,1,0,0,0,0,0,0,1,0,0,0,-2,1
 Rúben Dias,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,1,0,0,0,58,0,1,0,0,0,0,0,0,1,0,0,0,4,1
 E. Haaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,0,0,2,2,0,0,16,0,0,0,2,1,3,0,0,1,0,0,0,0,1
 N. Aké,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,-10,1
 S. Ortega,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,1,0,-5,1
 M. Kovačić,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,2,1
J. GREALISH,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,1
J. ÁLVAREZ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
M. NUNES,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
S. CARSON,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
J. STONES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
O. BOBB,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,1
R. LEWIS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
