1,1,1,1,1,1,1,1,1
,,,,,,,,
Scott Carson,England,3/9/1985,33,GK,80,190,Both,dd4b21e9ef71e1291183a46b913ae6f2
,,,,,,,,
Ederson,Brazil,17/08/1993,31,GK,80,190,Both,dd4b21e9ef71e1291183a46b913ae6f2
,,,,,,,,
Stefan Ortega Moreno,Germany,6/11/1992,18,GK,80,190,Both,dd4b21e9ef71e1291183a46b913ae6f2
,,,,,,,,
Manuel Akanji,Switzerland,19/07/1995,25,CB,80,190,Both,dd4b21e9ef71e1291183a46b913ae6f2
,,,,,,,,
Nathan Ake,Netherland,18/02/1995,6,CB; LB; LWB; CDM,80,190,Both,dd4b21e9ef71e1291183a46b913ae6f2
,,,,,,,,
Joao Cancelo,Portugal,27/05/1994,7,RB; LB,80,190,Both,dd4b21e9ef71e1291183a46b913ae6f2
,,,,,,,,
Ruben Dias,Portugal,14/05/1997,3,CB,80,190,Both,dd4b21e9ef71e1291183a46b913ae6f2
,,,,,,,,
Sergio Gomez,Spain,4/9/2000,21,LWB,80,190,Both,dd4b21e9ef71e1291183a46b913ae6f2
,,,,,,,,
Josko Gvardiol,Croatia,23/01/2002,24,CB; LB,80,190,Both,dd4b21e9ef71e1291183a46b913ae6f2
,,,,,,,,
Rico Lewis,England,21/11/2004,82,RB; RWB; CDM,80,190,Both,dd4b21e9ef71e1291183a46b913ae6f2
,,,,,,,,
John Stones,England,28/05/1994,5,CB; RB,80,190,Both,dd4b21e9ef71e1291183a46b913ae6f2
,,,,,,,,
Kyle Walker,England,28/05/1990,2,RB; RWB,80,190,Both,dd4b21e9ef71e1291183a46b913ae6f2
,,,,,,,,
Joshua Wilson-Esbrand,England,26/12/2002,97,LB,80,190,Both,dd4b21e9ef71e1291183a46b913ae6f2
,,,,,,,,
Oscar Bobb,Norway,12/7/2003,52,CAM,80,190,Both,dd4b21e9ef71e1291183a46b913ae6f2
,,,,,,,,
Kevin De Bruyne,Belgium,28/06/1991,17,CM; CAM,80,190,Both,dd4b21e9ef71e1291183a46b913ae6f2
,,,,,,,,
Jeremy Doku,Belgium,27/05/2002,11,LM; LW; RW,80,190,Both,dd4b21e9ef71e1291183a46b913ae6f2
,,,,,,,,
Phil Foden,England,28/05/2000,47,CAM; RW; LW; RM; LM,80,190,Both,dd4b21e9ef71e1291183a46b913ae6f2
,,,,,,,,
Jack Grealish,England,10/9/1995,10,CAM; LM; LW,80,190,Both,dd4b21e9ef71e1291183a46b913ae6f2
,,,,,,,,
Mateo Kovacic,Croatia,6/5/1994,8,CM; CDM,80,190,Both,dd4b21e9ef71e1291183a46b913ae6f2
,,,,,,,,
Matheus Nunes,Portugal,27/04/1998,27,CM,80,190,Both,dd4b21e9ef71e1291183a46b913ae6f2
,,,,,,,,
Maximo Perrone,Argentina,7/1/2003,32,CDM; CM,80,190,Both,dd4b21e9ef71e1291183a46b913ae6f2
,,,,,,,,
Kalvin Phillips,England,2/12/1995,4,CM; CDM; CB,80,190,Both,dd4b21e9ef71e1291183a46b913ae6f2
,,,,,,,,
Rodrigo,Spain,22/06/1996,16,CDM,80,190,Both,dd4b21e9ef71e1291183a46b913ae6f2
,,,,,,,,
Bernardo Silva,Portugal,10/8/1994,20,CAM; RW; LW; RM; LM,80,190,Both,dd4b21e9ef71e1291183a46b913ae6f2
,,,,,,,,
Julian Alvarez,Argentina,31/01/2000,19,ST; CF,80,190,Both,dd4b21e9ef71e1291183a46b913ae6f2
,,,,,,,,
Erling Haaland,Norway,21/07/2000,9,ST,80,190,Both,dd4b21e9ef71e1291183a46b913ae6f2
