Name,Number,DoB,PoB,Pos,Weight,Height,Leg
Scott Carson,33,03/09/1985,Anh,GK,80,190,Hai chân
Ederson,31,17/08/1993,Brazil,GK,80,190,Hai chân
Stefan Ortega Moreno,18,06/11/1992,Đức,GK,80,190,Hai chân
Manuel Akanji,25,19/07/1995,Thụy Sĩ,CB,80,190,Hai chân
Nathan Ake,6,18/02/1995,Hà Lan,"CB, LB, LWB, CDM",80,190,Hai chân
Joao Cancelo,7,27/05/1994,Bồ Đào Nha,"RB, LB",80,190,Hai chân
Ruben Dias,3,14/05/1997,Bồ Đào Nha,CB,80,190,Hai chân
Sergio Gomez,21,04/09/2000,Tây Ban Nha,LWB,80,190,Hai chân
Josko Gvardiol,24,23/01/2002,Croatia,"CB, LB",80,190,Hai chân
Rico Lewis,82,21/11/2004,Anh,"RB, RWB, CDM",80,190,Hai chân
John Stones,5,28/05/1994,Anh,"CB, RB",80,190,Hai chân
Kyle Walker,2,28/05/1990,Anh,"RB, RWB",80,190,Hai chân
Joshua Wilson-Esbrand,97,26/12/2002,Anh,LB,80,190,Hai chân
Oscar Bobb,52,12/07/2003,Na Uy,CAM,80,190,Hai chân
Kevin De Bruyne,17,28/06/1991,Bỉ,"CM, CAM",80,190,Hai chân
Jeremy Doku,11,27/05/2002,Bỉ,"LM, LW, RW",80,190,Hai chân
Phil Foden,47,28/05/2000,Anh,"CAM, RW, LW, RM, LM",80,190,Hai chân
Jack Grealish,10,10/09/1995,Anh,"CAM, LM, LW",80,190,Hai chân
Mateo Kovacic,8,06/05/1994,Croatia,"CM, CDM",80,190,Hai chân
Matheus Nunes,27,27/04/1998,Bồ Đào Nha,CM,80,190,Hai chân
Maximo Perrone,32,07/01/2003,Argentina,"CDM, CM",80,190,Hai chân
Kalvin Phillips,4,02/12/1995,Anh,"CM, CDM, CB",80,190,Hai chân
Rodrigo,16,22/06/1996,Tây Ban Nha,CDM,80,190,Hai chân
Bernardo Silva,20,10/08/1994,Bồ Đào Nha,"CAM, RW, LW, RM, LM",80,190,Hai chân
Julian Alvarez,19,31/01/2000,Argentina,"ST, CF",80,190,Hai chân
Erling Haaland,9,21/07/2000,Na Uy,ST,80,190,Hai chân
